Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,RE24,DFS(DK),DFS(FD),Pos
48,611,49,May 26,TOR,@,NYY,W3-1,CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.242,.343,.495,.837,2,1.23,-0.050,-0.51,,,3B
49,612,50,May 27,TOR,,BOS,W7-5,CG,5,5,2,4,1,0,2,5,0,0,1,0,0,0,0,0,0,0,.257,.353,.540,.894,2,1.61,0.587,4.61,,,3B
50,613,51,May 28,TOR,,BOS,W10-9,CG,5,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.258,.359,.537,.896,2,1.06,0.011,0.50,,,3B
51,614,52,May 29,TOR,,BOS,L3-5,CG(11),6,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.256,.358,.528,.887,2,1.06,-0.079,-0.38,,,3B
52,615,53,May 30,TOR,,NYY,W4-2,CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.256,.357,.523,.879,2,.65,0.013,-0.37,,,3B
53,616,54,May 31,TOR,,NYY,W4-1,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.355,.517,.872,2,.64,0.013,0.01,,,3B
54,617,55,Jun 1,TOR,,NYY,W7-0,CG,4,3,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,.257,.357,.515,.872,2,1.27,0.030,0.32,,,3B
55,618,56,Jun 3,TOR,@,BOS,W5-2,CG,5,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,.254,.358,.507,.865,2,.70,-0.012,-0.26,,,3B
56,619,58 (1),Jun 5,TOR,@,BOS,W5-4,CG,4,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.250,.356,.500,.856,2,.35,-0.017,-0.49,,,DH
57,620,59,Jun 6,TOR,@,DET,L0-11,GS-7,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.248,.356,.495,.851,2,.75,-0.025,-0.39,,,3B
58,621,60,Jun 7,TOR,@,DET,L2-3,CG(10),5,2,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,.245,.361,.491,.852,2,.73,0.003,0.32,,,3B
59,622,61,Jun 8,TOR,@,DET,W7-2,CG,4,4,3,3,0,1,1,3,0,0,0,0,0,0,0,0,0,0,.255,.367,.518,.885,2,.64,0.207,2.27,,,3B
60,623,62,Jun 9,TOR,,BAL,L5-6,CG,5,4,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,.254,.367,.522,.890,2,1.36,0.032,0.64,,,3B
61,624,63,Jun 10,TOR,,BAL,W4-3,CG(10),5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,.253,.364,.515,.880,2,1.25,-0.079,-0.24,,,3B
62,625,64,Jun 11,TOR,,BAL,W11-6,CG,5,4,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,.253,.361,.511,.872,2,1.47,0.010,-0.31,,,3B
63,626,65,Jun 12,TOR,,BAL,W10-9,CG,5,3,1,1,1,0,0,1,2,0,1,0,0,0,0,0,0,0,.254,.366,.513,.878,2,.50,0.115,1.27,,,DH
64,627,66,Jun 13,TOR,,PHI,L0-7,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.255,.367,.510,.878,2,.72,0.015,-0.07,,,3B
65,628,67,Jun 14,TOR,,PHI,W11-3,CG,5,4,3,3,2,0,1,5,1,0,0,0,0,0,0,0,0,0,.263,.375,.535,.910,2,.38,0.177,4.80,,,3B
66,629,68,Jun 15,TOR,@,PHI,W7-2,CG,5,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,.267,.379,.547,.925,3,.81,0.139,1.67,,,3B
67,630,69,Jun 16,TOR,@,PHI,W13-2,GS-8,5,3,3,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.276,.389,.556,.945,2,.32,0.062,2.49,,,3B
68,631,70,Jun 17,TOR,@,BAL,W13-3,GS-8,5,4,3,2,0,1,1,3,1,0,0,0,0,0,0,0,0,0,.280,.393,.575,.968,2,.37,0.186,2.43,,,3B
69,632,71,Jun 18,TOR,@,BAL,L2-4,CG,5,5,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,.278,.390,.571,.961,2,2.21,-0.347,-1.94,,,3B
